"Chuck, independent (4 jaws)",34.0,41.3,49.9,70.9,—
Clamp on table (3 clamps),28.8,33.9,39.4,58.7,264.6
Collet,10.3,15.4,20.9,—,—
Faceplate (3 clamps),31.9,43.3,58.0,82.1,196.2
"Fixture, horizontal (3 screws)",25.8,33.1,41.7,69.4,274.7
"Fixture, vertical (3 screws)",27.2,38.6,53.3,—,—
Hand to held,1.4,6.5,12.0,—,—
Jig,25.8,33.1,41.7,—,—
Magnet table,2.6,5.2,8.4,—,—
Parallels,14.2,19.3,24.8,67.0,354.3
Rotary table or index plate (3 clamps),28.8,36.1,44.7,72.4,277.7
“V” Blocks,25.0,30.1,35.6,77.8,365.1
Vise,13.5,18.6,24.1,39.6,174.2
