,lb/in.3,mg/m3,Bar,Rod,Sheet <0.5 in.,Plate >0.5 in.,Tube
"Ferrous
Carbon steel",0.283,7.83,0.51,0.51,0.36,0.42,0.92
Alloy steel,0.31,8.58,0.75,0.75,1.20,—,—
Stainless steel,0.283,7.83,1.50,1.50,2.50,2.50,—
Tool steel,0.283,7.83,6.44,6.44,—,6.44,—
"Nonferrous
Aluminum alloys",0.10,2.77,1.93,1.93,1.95,2.50,4.60
Brass,0.31,8.58,0.90,1.22,1.90,1.90,1.90
Nickel alloys,0.30,8.30,5.70,5.70,5.70,5.70,—
Magnesium alloys,0.066,1.83,3.35,3.35,6.06,6.06,3.35
Zinc alloys,0.23,6.37,1.50,1.50,1.50,1.50,—
Titanium alloys,0.163,4.51,15.40,15.40,25.00,25.00,—
