Pressure Psla,"20 c
68 F","100 c
212 F","200 c
392 F",Pressure Psia,20 c,"100 c
212 F","200 c
392 F"
6000,2.84,3.14,5.20,22000,2.61,2.42,3.75
7000,2.82,3.10,5.09,23000,2.59,2.38,3.68
8000,2.80,3.05,4.97,24000,2.58,2.33,3.61
9000,2.78,3.01,4.87,25000,2.57,2.29,3.55
10000,2.76,2.96,4.76,26000,2.56,2.24,3.49
11000,2.75,2.92,4.66,27000,2.55,2.20,3.43
12000,2.73,2.87,4.57,28000,2.55,2.15,3.37
13000,2.71,2.83,4.47,29000,2.54,2.11,3.31
14000,2.70,2.78,,30000,2.53,2.06,3.26
15000,2.69,2.74,4.29,31000,2.52,2.02,3.21
16000,2.67,2.69,4.21,32000,2.51,1.97,3.16
17000,2.66,2.65,4.13,33000,2.50,1.93,3.11
18000,2.65,2.60,4.05,34000,2.49,1.88,3.07
19000,2.64,2.56,3.97,35000,2.49,1.84,3.03
20000,2.63,2.51,3.89,36000,2.48,1.79,2.99
