201	S20100,0.15,5.5 to 7.5,1.00,16.0 to 18.0,3.5 to 5.5,0.06,0.03,0.25 N
304	S30400,0.08,2.00,1.00,18.0 to 20.0,8.0 to 10.5,0.045,0.03,
304L	S30403,0.03,2.00,1.00,18.0 to 20.0,8.0 to 12.0,0.045,0.03,
310,0.25,2.00,1.50,24.0 to 26.0,19.0 to 22.0,0.045,0.03,
316	S31600,0.08,2.00,1.00,16.0 to 18.0,10.0 to 14.0,0.045,0.03,2.0 to 3.0 Mo
"347	S34700
Fenitic types",0.08,2.00,1.00,17.0 to 19.0,9.0 to 13.0,0.045,0.03,min Nb+Ta
450	S40500,0.045,1.00,1.00,11.5 to 14.5,,0.04,0.03,0.1 to 0.3 Al
"430	S43000
Martensitic types",0.12,1.25,1.00,16.0 to 18.0,,0.04,0.03,
410	S41000,0.15,1.00,1.00,11.5 to 13.0,,0.04,0.03,
420	S42000,0.15,1.00,1.00,12.0 to 14.0,,0.04,0.03,
"431	S431 oo
Precipitationhardening types",0.20,1.00,1.00,15.0 to 17.0,1.25 to 2.50,0.04,0.03,
17 to 4PH S17400,0.07,1.00,1.00,15.5 to 17.5,3.0 to 5.0,0.04,0.03,"3.0 to 5.0 cu;
0.15 to 0.45 (Nb+Ta)"
17 to 7PH S17700,0.09,1.00,1.00,16.0 to 18.0,6.5 to 7.75,0.04,0.03,0.75 to 1.5Al
