Energy/Work (cont'd),joule,0.7376,ft to lb
,joule,2.7778 x 10 to 7,kilowatt to hour
,joule,0.2389,calories
,joule,1 .ooo,newton to meter
,joule,1 .ooo x 107,dyne centimeters
,joule,1 .ooo,watt to second
,Btu,2.930 x 10 to 4,kilowatt to hours
,kilowatt to hours,3412.97,Btu
,Btu,253.0,calories
,calorie,"3,953 x 10 to 3",Btu
,kilowatt to hour,2.655 x 106,ft to lb
,ft to lb,3.766 x 10 to 7,kilowatt to hour
Force,dyne,1.000 x 10 to 5,newton (N)
,pound (1b),4.4482,newton
,newton (N),1 .OOO x 105,dyne
,newton,0.2248,pound (1b)
Length,foot (ft),0.3048,meter (m)
,inch (in),2.540 x 10 to 2,meter
,yard,0.9144,meter
,micron,1 .OOO X,meter
,mile (mi),1.6093 x 103,meter
,"mile, nautical (nm)",1.8520 x 103,meter
,meter (m),3.2808,foot (fi)
,meter,39.3701,inch (in)
,meter,1.0936,yards
,meter,1 	x 106,micron
,meter,6.2139 x,mile (mi)
,meter,5.3996 x 104,"mile, nautical (nm)"
,"mile, nautical (nm)",1.15076,mile
,mile,0.86896,"mile, nautical"
,mile,5280,foot
,mile,1760,yard
Mass,pound mass (lbm),0.4536,kilogram (kg)
,slug,14.5939,kilogram
,ounce,2.83495 x 10 to 2,kilogram
,ton (metric),1000.00,kilogram
,"ton (2000 Ibn,)",907.185,kilogram
,kilogram (kg),2.2046,lbm
,kilogram,0.0685,slug
,kilogram,35.2739,ounce
,kilogram,0.0010,ton (metric)
,kilogram,1.1023 x 10 to 3,ton (2000 lbm)
,pound mass,16,ounce
,ounce,0.06250,pound mass
Moment (Force),foot to pound (ft to lb),1.35582,newton to meter (N to m)
,dyne to centimeter,1 .ooo x 10 to 7,N to m
,newton to meter (N to m),0.73756,foot to pound (ft to lb)
,newton to meter,1 .ooo x 107,dyne to centimeter
